[2026-07-03T03:31:37.065Z] GET / HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:31:37.074Z] GET /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:31:37.357Z] GET /favicon.ico HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:39:37.208Z] GET /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:44:38.475Z] GET /signup HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:45:09.695Z] POST /signup HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:45:09.800Z] GET /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:45:16.010Z] POST /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:45:16.014Z] GET /login?error=credenciais-invalidas HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:45:20.337Z] POST /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:45:20.417Z] GET / HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:04.089Z] POST /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:04.168Z] GET / HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:04.192Z] GET /game/index.html HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
